"STATION","NAME","DATE","AWND","TMAX","TMIN","WDF2","WSF2"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-01",,"60","46",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-02",,"64","50",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-03",,"63","51",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-04",,"64","46",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-05",,"63","53",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-06",,"55","47",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-07",,"54","45",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-08",,"53","50",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-09",,"54","46",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-10",,"53","44",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-11",,"56","46",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-12",,"58","43",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-13",,"53","41",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-14",,"58","40",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-15",,"68","50",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-16",,"62","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-17",,"60","47",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-18",,"64","45",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-19",,"53","41",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-20",,"52","39",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-21",,"52","39",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-22",,"48","43",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-23",,"53","43",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-24",,"55","43",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-25",,"48","39",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-26",,"51","37",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-27",,"59","40",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-28",,"58","47",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-29",,"63","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-01-30",,"69","54",,
